№;P+, кВт;Время;Дата;Период, мин.
1;0.2830;00:30;01.03.2019;30
2;0.2810;01:00;01.03.2019;30
3;0.2760;01:30;01.03.2019;30
4;0.2750;02:00;01.03.2019;30
5;0.2670;02:30;01.03.2019;30
6;0.2620;03:00;01.03.2019;30
7;0.2600;03:30;01.03.2019;30
8;0.2580;04:00;01.03.2019;30
9;0.2560;04:30;01.03.2019;30
10;0.2540;05:00;01.03.2019;30
11;0.2710;05:30;01.03.2019;30
12;0.3170;06:00;01.03.2019;30
13;0.3580;06:30;01.03.2019;30
14;0.4020;07:00;01.03.2019;30
15;0.5480;07:30;01.03.2019;30
16;0.5900;08:00;01.03.2019;30
17;0.5800;08:30;01.03.2019;30
18;0.6180;09:00;01.03.2019;30
19;0.7780;09:30;01.03.2019;30
20;0.8290;10:00;01.03.2019;30
21;0.8560;10:30;01.03.2019;30
22;0.8670;11:00;01.03.2019;30
23;0.8740;11:30;01.03.2019;30
24;0.8560;12:00;01.03.2019;30
25;0.8940;12:30;01.03.2019;30
26;0.8940;13:00;01.03.2019;30
27;0.9060;13:30;01.03.2019;30
28;0.9000;14:00;01.03.2019;30
29;0.8930;14:30;01.03.2019;30
30;0.8830;15:00;01.03.2019;30
31;0.8770;15:30;01.03.2019;30
32;0.8470;16:00;01.03.2019;30
33;0.8170;16:30;01.03.2019;30
34;0.7970;17:00;01.03.2019;30
35;0.7190;17:30;01.03.2019;30
36;0.6550;18:00;01.03.2019;30
37;0.5910;18:30;01.03.2019;30
38;0.5600;19:00;01.03.2019;30
39;0.5260;19:30;01.03.2019;30
40;0.5030;20:00;01.03.2019;30
41;0.4670;20:30;01.03.2019;30
42;0.4350;21:00;01.03.2019;30
43;0.3960;21:30;01.03.2019;30
44;0.3740;22:00;01.03.2019;30
45;0.3430;22:30;01.03.2019;30
46;0.3100;23:00;01.03.2019;30
47;0.3050;23:30;01.03.2019;30
48;0.2960;00:00;02.03.2019;30
49;0.2700;00:30;02.03.2019;30
50;0.2270;01:00;02.03.2019;30
51;0.2280;01:30;02.03.2019;30
52;0.2260;02:00;02.03.2019;30
53;0.2280;02:30;02.03.2019;30
54;0.2240;03:00;02.03.2019;30
55;0.2260;03:30;02.03.2019;30
56;0.2230;04:00;02.03.2019;30
57;0.2260;04:30;02.03.2019;30
58;0.2240;05:00;02.03.2019;30
59;0.2420;05:30;02.03.2019;30
60;0.2710;06:00;02.03.2019;30
61;0.2890;06:30;02.03.2019;30
62;0.2860;07:00;02.03.2019;30
63;0.2900;07:30;02.03.2019;30
64;0.2640;08:00;02.03.2019;30
65;0.2350;08:30;02.03.2019;30
66;0.2390;09:00;02.03.2019;30
67;0.2500;09:30;02.03.2019;30
68;0.2590;10:00;02.03.2019;30
69;0.2790;10:30;02.03.2019;30
70;0.2830;11:00;02.03.2019;30
71;0.2830;11:30;02.03.2019;30
72;0.2960;12:00;02.03.2019;30
73;0.2960;12:30;02.03.2019;30
74;0.2940;13:00;02.03.2019;30
75;0.3340;13:30;02.03.2019;30
76;0.3430;14:00;02.03.2019;30
77;0.3270;14:30;02.03.2019;30
78;0.2960;15:00;02.03.2019;30
79;0.2690;15:30;02.03.2019;30
80;0.2700;16:00;02.03.2019;30
81;0.2640;16:30;02.03.2019;30
82;0.2670;17:00;02.03.2019;30
83;0.2580;17:30;02.03.2019;30
84;0.2570;18:00;02.03.2019;30
85;0.2430;18:30;02.03.2019;30
86;0.2410;19:00;02.03.2019;30
87;0.2350;19:30;02.03.2019;30
88;0.2390;20:00;02.03.2019;30
89;0.2340;20:30;02.03.2019;30
90;0.2540;21:00;02.03.2019;30
91;0.2320;21:30;02.03.2019;30
92;0.2340;22:00;02.03.2019;30
93;0.2300;22:30;02.03.2019;30
94;0.2300;23:00;02.03.2019;30
95;0.2220;23:30;02.03.2019;30
96;0.2230;00:00;03.03.2019;30
97;0.2200;00:30;03.03.2019;30
98;0.2220;01:00;03.03.2019;30
99;0.2160;01:30;03.03.2019;30
100;0.2200;02:00;03.03.2019;30
101;0.2170;02:30;03.03.2019;30
102;0.2190;03:00;03.03.2019;30
103;0.2150;03:30;03.03.2019;30
104;0.2160;04:00;03.03.2019;30
105;0.2140;04:30;03.03.2019;30
106;0.2170;05:00;03.03.2019;30
107;0.2300;05:30;03.03.2019;30
108;0.2590;06:00;03.03.2019;30
109;0.2710;06:30;03.03.2019;30
110;0.2690;07:00;03.03.2019;30
111;0.2710;07:30;03.03.2019;30
112;0.2540;08:00;03.03.2019;30
113;0.2450;08:30;03.03.2019;30
114;0.2410;09:00;03.03.2019;30
115;0.2450;09:30;03.03.2019;30
116;0.2510;10:00;03.03.2019;30
117;0.2570;10:30;03.03.2019;30
118;0.2650;11:00;03.03.2019;30
119;0.2710;11:30;03.03.2019;30
120;0.2680;12:00;03.03.2019;30
121;0.2680;12:30;03.03.2019;30
122;0.2650;13:00;03.03.2019;30
123;0.2730;13:30;03.03.2019;30
124;0.2810;14:00;03.03.2019;30
125;0.2970;14:30;03.03.2019;30
126;0.2930;15:00;03.03.2019;30
127;0.2850;15:30;03.03.2019;30
128;0.2720;16:00;03.03.2019;30
129;0.2730;16:30;03.03.2019;30
130;0.2710;17:00;03.03.2019;30
131;0.2760;17:30;03.03.2019;30
132;0.2720;18:00;03.03.2019;30
133;0.2680;18:30;03.03.2019;30
134;0.2640;19:00;03.03.2019;30
135;0.2570;19:30;03.03.2019;30
136;0.2580;20:00;03.03.2019;30
137;0.2580;20:30;03.03.2019;30
138;0.2530;21:00;03.03.2019;30
139;0.2380;21:30;03.03.2019;30
140;0.2200;22:00;03.03.2019;30
141;0.2150;22:30;03.03.2019;30
142;0.2190;23:00;03.03.2019;30
143;0.2110;23:30;03.03.2019;30
144;0.2080;00:00;04.03.2019;30
